id,discipline,department,speciality_id
113,Проектно-технологическая практика,БМТ1,09.03.03_04
114,Технологическая практика,БМТ1,09.03.03_04
115,Учебно-технологический практикум,БМТ1,09.03.03_04
116,Научно-исследовательская работа,БМТ1,09.03.03_04
117,Эксплуатационная практика,БМТ1,09.03.03_04
118,Преддипломная практика,БМТ1,09.03.03_04
119,Подготовка и защита ВКР,БМТ1,09.03.03_04
120,Инженерная и компьютерная графика,РК1,12.03.04_01
121,Иностранный язык,Л2,12.03.04_01
122,Информатика,ИУ7,12.03.04_01
123,История России,СГН1,12.03.04_01
124,Начертательная геометрия,РК1,12.03.04_01
125,Общая биология,БМТ1,12.03.04_01
126,Аналитическая геометрия,ФН1,12.03.04_01
127,Математический анализ,ФН1,12.03.04_01
128,Физическая культура и спорт,ФВ,12.03.04_01
129,Химия,ФН5,12.03.04_01
130,Интегралы и дифференциальные уравнения,ФН1,12.03.04_01
131,Линейная алгебра и функции нескольких переменных,ФН1,12.03.04_01
132,Физика,ФН4,12.03.04_01
133,Биохимия,БМТ1,12.03.04_01
134,Электротехника,ФН7,12.03.04_01
135,Прикладная механика,РК5,12.03.04_01
136,Теория поля и ряды,ФН1,12.03.04_01
137,Основы патологии,БМТ1,12.03.04_01
138,Биофизика,БМТ2,12.03.04_01
139,Интегральные преобразования и уравнения математической физики,ФН1,12.03.04_01
140,Конструирование узлов и элементов биотехнических систем,РЛ5,12.03.04_01
141,Основы технологии приборостроения,РЛ6,12.03.04_01
142,Русский язык и культура речи,Л1,12.03.04_01
143,Теория вероятностей и математическая статистика,БМТ1,12.03.04_01
144,Культурология,СГН2,12.03.04_01
145,Биомеханика,БМТ2,12.03.04_01
146,"Метрология, стандартизация и технические измерения",БМТ1,12.03.04_01
147,Политология,СГН3,12.03.04_01
148,Философия,СГН4,12.03.04_01
149,Электроника и микропроцессорная техника,РЛ1,12.03.04_01
150,Биофизика КР,БМТ1,12.03.04_01
151,Основы взаимодействия физических полей с биообъектами,БМТ1,12.03.04_01
152,Экология,Э9,12.03.04_01
153,Биофизические основы живых систем,БМТ2,12.03.04_01
154,Конструкционные и биоматериалы,БМТ1,12.03.04_01
155,Основы моделирования биотехнических систем,БМТ2,12.03.04_01
156,Правоведение,ЮР,12.03.04_01
157,Безопасность жизнедеятельности,Э9,12.03.04_01
158,Биотехнические системы медицинского назначения,БМТ1,12.03.04_01
159,Методы обработки биомедицинских сигналов,БМТ2,12.03.04_01
160,Экономика часть 1,ИБМ3,12.03.04_01
161,Биотелеметрия,БМТ1,12.03.04_01
162,Методы анализа нестационарных биомедицинских сигналов,БМТ1,12.03.04_01
163,Основы медицинской акустики,БМТ2,12.03.04_01
164,Системный анализ и принятие решений,БМТ1,12.03.04_01
165,Технические методы диагностических исследований и лечебных воздействий,БМТ1,12.03.04_01
166,Клиническая терапия и хирургия,БМТ1,12.03.04_01
167,Электроника и микропроцессорная техника. Курсовая работа,БМТ1,12.03.04_01
168,Электроника и микропроцессорная техника,БМТ1,12.03.04_01
169,"Медицинские приборы, аппараты, системы и комплексы",БМТ1,12.03.04_01
170,Основы технической и биомедицинской оптики,БМТ1,12.03.04_01
171,Электроника и микропроцессорная техника,БМТ2,12.03.04_01
172,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,12.03.04_01
173,ДВ №2 (основная) : Измерительные преобразователи и электроды,БМТ1,12.03.04_01
174,ДВ №2: Физические методы исследования физиологических параметров,БМТ1,12.03.04_01
175,ДВ №3 (основная) : Искусственные органы и системы,БМТ1,12.03.04_01
176,ДВ №3: Основы лазерной медицинской техники,БМТ1,12.03.04_01
177,Ознакомительная практика,БМТ1,12.03.04_01
178,Эксплуатационная практика,БМТ1,12.03.04_01
179,Учебно-технологический практикум,РЛ6,12.03.04_01
180,Научно-исследовательская работа,БМТ1,12.03.04_01
181,Медико-техническая практика,БМТ1,12.03.04_01
182,Научно-исследовательская работа,БМТ1,12.03.04_01
183,Научно-исследовательская работа,БМТ1,12.03.04_01
184,Преддипломная практика,БМТ1,12.03.04_01
185,Подготовка и защита ВКР,БМТ1,12.03.04_01
186,Инженерная и компьютерная графика,РК1,12.03.04_71
187,Информатика,ИУ7,12.03.04_71
188,История России,СГН1,12.03.04_71
189,Начертательная геометрия,РК1,12.03.04_71
190,Общая биология,БМТ1,12.03.04_71
191,Аналитическая геометрия,ФН1,12.03.04_71
192,Математический анализ,ФН1,12.03.04_71
193,Русский язык как иностранный,Л1,12.03.04_71
194,Физическая культура и спорт,ФВ,12.03.04_71
195,Химия,ФН5,12.03.04_71
196,Интегралы и дифференциальные уравнения,ФН1,12.03.04_71
197,Линейная алгебра и функции нескольких переменных,ФН1,12.03.04_71
198,Физика,ФН4,12.03.04_71
199,Биохимия,БМТ1,12.03.04_71
200,Электротехника,ФН7,12.03.04_71
