id,discipline,department,speciality_id
694,Моделирование бизнес-процессов,ИБМ3,01.03.04_06
695,Управление командой,ИБМ3,01.03.04_06
696,Цифровой маркетинг,ИБМ3,01.03.04_06
697,Имитационное моделирование в логистике,ИБМ3,01.03.04_06
698,Методы аналитики и прогнозирования,ИБМ3,01.03.04_06
699,Управление проектами,ИБМ3,01.03.04_06
700,Когнитивное моделирование логистических процессов,ИБМ3,01.03.04_06
701,Организация и управление цепями поставок,ИБМ3,01.03.04_06
702,Теория устойчивого развития,ИБМ3,01.03.04_06
703,Управление рисками в логистике,ИБМ3,01.03.04_06
704,Математическое моделирование экономических систем,ИБМ3,01.03.04_06
705,Организация логистического обеспечения наукоемкого производства,ИБМ3,01.03.04_06
706,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,01.03.04_06
707,ДВ №2 (основная) : Корпоративная социальная ответственность организации,ИБМ3,01.03.04_06
708,ДВ №2: Организация инновационной деятельности в интегрированных промышленных структурах,ИБМ3,01.03.04_06
709,ДВ №3 (основная) : Переговоры и защита интересов,ИБМ3,01.03.04_06
710,ДВ №3: Стратегическое управление инновациями,ИБМ3,01.03.04_06
711,Ознакомительная практика,ИБМ3,01.03.04_06
712,Проектно-технологическая практика,ИБМ3,01.03.04_06
713,Учебно-технологический практикум,МТ13,01.03.04_06
714,Научно-исследовательская работа,ИБМ3,01.03.04_06
715,Преддипломная практика,ИБМ3,01.03.04_06
716,Подготовка и защита ВКР,ИБМ3,01.03.04_06
717,Инженерная графика,РК1,27.03.05_03
718,Иностранный язык,Л2,27.03.05_03
719,История России,СГН1,27.03.05_03
720,Линейная алгебра и аналитическая геометрия,ФН1,27.03.05_03
721,Математический анализ,ФН1,27.03.05_03
722,Начертательная геометрия,РК1,27.03.05_03
723,Экономическая теория,ИБМ1,27.03.05_03
724,Информатика,ИУ7,27.03.05_03
725,Физическая культура и спорт,ФВ,27.03.05_03
726,Физика и естествознание,ФН4,27.03.05_03
727,Экономика предприятия,ИБМ2,27.03.05_03
728,Информационные технологии,ИБМ4,27.03.05_03
729,Материаловедение и химия,МТ8,27.03.05_03
730,"Метрология, стандартизация и сертификация",МТ4,27.03.05_03
731,Основы теории вероятностей и математической статистики,ФН1,27.03.05_03
732,Прикладная механика,ФН3,27.03.05_03
733,Теория инноваций,ИБМ6,27.03.05_03
734,Менеджмент,ИБМ4,27.03.05_03
735,Прикладная статистика,ИБМ2,27.03.05_03
736,Системный анализ и принятие решений,ФН1,27.03.05_03
737,Технология конструкционных материалов,МТ13,27.03.05_03
738,Социология,СГН2,27.03.05_03
739,Безопасность жизнедеятельности,Э9,27.03.05_03
740,Естественно-научные методы решения инновационных задач,ФН4,27.03.05_03
741,Основы проектно-конструкторской деятельности,РК3,27.03.05_03
742,Управление качеством,ИБМ6,27.03.05_03
743,Финансирование инновационной деятельности,ИБМ5,27.03.05_03
744,Иностранный язык для профессиональных коммуникаций,Л2,27.03.05_03
745,Маркетинг инноваций,ИБМ3,27.03.05_03
746,Организация и планирование производства,ИБМ2,27.03.05_03
747,Промышленные технологии и инновации,ИБМ4,27.03.05_03
748,Теория и системы управления,ИБМ6,27.03.05_03
749,Управление инновационными проектами,ИБМ2,27.03.05_03
750,Управление человеческими ресурсами,ИБМ3,27.03.05_03
751,Философия,СГН4,27.03.05_03
752,Экология,Э9,27.03.05_03
753,Логистика наукоемкого производства,ИБМ3,27.03.05_03
754,Правоведение,ЮР,27.03.05_03
755,Управление инновационной деятельностью,ИБМ2,27.03.05_03
756,Основы логистической деятельности,ИБМ3,27.03.05_03
757,Основы проектирования и программирования баз данных в логистике,ИБМ3,27.03.05_03
758,Предпринимательский практикум - часть 1,ИБМ7,27.03.05_03
759,Количественные и качественные методы в логистике,ИБМ3,27.03.05_03
760,Организация и нормирование труда в наукоемких производствах,ИБМ3,27.03.05_03
761,Экономический анализ наукоемкого производства,ИБМ3,27.03.05_03
762,Предпринимательский практикум 2,ИБМ7,27.03.05_03
763,Оптимизация логистических процессов,ИБМ3,27.03.05_03
764,Организация логистического обеспечения наукоемкого производства,ИБМ3,27.03.05_03
765,Бизнес-планирование наукоемкого производства,ИБМ3,27.03.05_03
766,Интегрированная логистическая поддержка,ИБМ3,27.03.05_03
767,Коммуникации в логистике,ИБМ3,27.03.05_03
768,Логистика замкнутого цикла,ИБМ3,27.03.05_03
769,Стратегическое управление инновациями,ИБМ3,27.03.05_03
770,Управление жизненным циклом продукции,ИБМ3,27.03.05_03
771,Логистика экспортно-импортных операций в наукоемком производстве,ИБМ3,27.03.05_03
772,Управление рисками наукоемкого производства,ИБМ3,27.03.05_03
773,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,27.03.05_03
774,ДВ №2 (основная) : Интегрированные структуры наукоемкого производства,ИБМ3,27.03.05_03
775,ДВ №2: Организация инновационной деятельности в интегрированных промышленных структурах,ИБМ3,27.03.05_03
776,ДВ №3 (основная) : Технологические и производственные инновации,ИБМ3,27.03.05_03
777,ДВ №3: Инновационное развитие территорий,ИБМ3,27.03.05_03
778,Ознакомительная практика,ИБМ3,27.03.05_03
779,Организационно-управленческая практика,ИБМ3,27.03.05_03
780,Учебно-технологический практикум,РЛ6,27.03.05_03
781,Учебно-технологический практикум,МТ13,27.03.05_03
782,Научно-исследовательская работа,ИБМ3,27.03.05_03
783,Преддипломная практика,ИБМ3,27.03.05_03
784,Подготовка и защита ВКР,ИБМ3,27.03.05_03
785,Иностранный язык,Л2,38.03.02_03
786,Информатика,ИУ7,38.03.02_03
787,История России,СГН1,38.03.02_03
788,Линейная алгебра и аналитическая геометрия,ФН1,38.03.02_03
789,Математический анализ,ФН1,38.03.02_03
790,Микроэкономика,ИБМ1,38.03.02_03
791,Основы экономической политики государства,ИБМ1,38.03.02_03
792,Учебно-технологический практикум по организации производства,МТ13,38.03.02_03
793,Физическая культура и спорт,ФВ,38.03.02_03
794,Экономические основы деятельности фирмы,ИБМ1,38.03.02_03
795,Макроэкономика,ИБМ1,38.03.02_03
796,Теория менеджмента,ИБМ4,38.03.02_03
797,Экономика предприятия,ИБМ2,38.03.02_03
798,Русский язык делового общения,Л1,38.03.02_03
799,Информационные технологии в менеджменте,ИБМ4,38.03.02_03
800,Организация производства,ИБМ2,38.03.02_03
801,Основы теории вероятностей и математической статистики,ФН1,38.03.02_03
802,Институциональная экономика,ИБМ1,38.03.02_03
803,Инструменты обработки и анализа данных,ИБМ7,38.03.02_03
804,Правоведение,ЮР,38.03.02_03
805,Учет и анализ,ИБМ2,38.03.02_03
806,Маркетинг,ИБМ3,38.03.02_03
807,Методы принятия управленческих решений,ФН1,38.03.02_03
808,Статистика,ИБМ2,38.03.02_03
809,Социология,СГН2,38.03.02_03
810,Безопасность жизнедеятельности,Э9,38.03.02_03
811,Теория отраслевых рынков,ИБМ1,38.03.02_03
812,Управление человеческими ресурсами,ИБМ3,38.03.02_03
813,Финансовый менеджмент,ИБМ5,38.03.02_03
814,Эконометрика,ИБМ2,38.03.02_03
815,Управление инвестициями,ИБМ5,38.03.02_03
816,Философия,СГН4,38.03.02_03
817,Макроэкономическое планирование и прогнозирование,ИБМ1,38.03.02_03
818,Бизнес-планирование и прогнозирование,ИБМ3,38.03.02_03
819,Стратегический менеджмент,ИБМ3,38.03.02_03
820,Логистика снабжения,ИБМ3,38.03.02_03
821,Основы логистики,ИБМ3,38.03.02_03
822,Логистика производства,ИБМ3,38.03.02_03
823,Логистика распределения,ИБМ3,38.03.02_03
824,Информационные технологии и системы в логистике,ИБМ3,38.03.02_03
825,Математические методы в логистике,ИБМ3,38.03.02_03
826,Складская логистика,ИБМ3,38.03.02_03
827,Транспортная логистика,ИБМ3,38.03.02_03
828,Имитационное моделирование в логистике,ИБМ3,38.03.02_03
829,Интегрированная логистика,ИБМ3,38.03.02_03
830,Нормирование труда в логистике,ИБМ3,38.03.02_03
831,Организация и управление цепями поставок,ИБМ3,38.03.02_03
832,Управление проектами,ИБМ3,38.03.02_03
833,Управление рисками в логистике,ИБМ5,38.03.02_03
834,Промышленный маркетинг,ИБМ3,38.03.02_03
835,Управление запасами,ИБМ3,38.03.02_03
836,Управление логистическими затратами,ИБМ3,38.03.02_03
837,Логистика сервисного обслуживания,ИБМ3,38.03.02_03
838,Корпоративная социальная ответственность в логистике и цепях поставок,ИБМ3,38.03.02_03
839,Логистика внешнеэкономической деятельности,ИБМ3,38.03.02_03
840,Управление логистическими системами,ИБМ3,38.03.02_03
841,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,38.03.02_03
842,ДВ №2 (основная) : GR-менеджмент,ИБМ7,38.03.02_03
843,ДВ №2: Управление нематериальными активами,ИБМ2,38.03.02_03
844,ДВ №3 (основная) : Основы ресурсосбережения,ИБМ3,38.03.02_03
845,ДВ №3: Управление интеллектуальным капиталом,ИБМ2,38.03.02_03
846,Ознакомительная практика,ИБМ3,38.03.02_03
847,Проектно-технологическая практика,ИБМ3,38.03.02_03
848,Научно-исследовательская работа,ИБМ3,38.03.02_03
849,Преддипломная практика,ИБМ3,38.03.02_03
850,Подготовка и защита ВКР,ИБМ3,38.03.02_03
851,Иностранный язык,Л2,38.03.02_09
852,Информатика,ИУ7,38.03.02_09
853,История России,СГН1,38.03.02_09
854,Линейная алгебра и аналитическая геометрия,ФН1,38.03.02_09
856,Физическая культура и спорт,ФВ,38.03.02_09
857,Экономическая теория,ИБМ3,38.03.02_09
858,Экономика предприятия,ИБМ2,38.03.02_09
859,Основы теории вероятностей и математической статистики,ФН1,38.03.02_09
860,Правоведение,ЮР,38.03.02_09
861,Теория инноваций,ИБМ6,38.03.02_09
862,Учет и анализ,ИБМ3,38.03.02_09
863,Методы принятия управленческих решений,ФН1,38.03.02_09
864,Прикладная статистика,ИБМ2,38.03.02_09
865,Социология,СГН2,38.03.02_09
866,Безопасность жизнедеятельности,Э9,38.03.02_09
867,Организация и планирование производства,ИБМ2,38.03.02_09
868,Финансовый менеджмент,ИБМ5,38.03.02_09
869,Эконометрика,ИБМ2,38.03.02_09
870,Управление инвестициями,ИБМ5,38.03.02_09
871,Философия,СГН4,38.03.02_09
872,Управление инновационной деятельностью,ИБМ2,38.03.02_09
873,Бизнес-планирование и прогнозирование,ИБМ3,38.03.02_09
874,Стратегический менеджмент,ИБМ3,38.03.02_09
875,Основы логистической деятельности,ИБМ3,38.03.02_09
876,Психология труда,ИБМ3,38.03.02_09
877,Технологии управления,ИБМ3,38.03.02_09
878,Нормативно-правовое регулирование трудовых отношений,ИБМ3,38.03.02_09
879,Организация и нормирование труда,ИБМ3,38.03.02_09
880,Основы маркетинга,ИБМ3,38.03.02_09
881,Информационные технологии и системы в логистике,ИБМ3,38.03.02_09
882,Логистика производства,ИБМ3,38.03.02_09
883,Управление персоналом,ИБМ3,38.03.02_09
884,Маркетинговые коммуникации в офлайн и онлайн среде,ИБМ3,38.03.02_09
885,Моделирование бизнес-процессов,ИБМ3,38.03.02_09
886,Управление командой,ИБМ3,38.03.02_09
887,Оценка и аттестация персонала,ИБМ3,38.03.02_09
888,Развитие персонала и формирование кадрового потенциала,ИБМ3,38.03.02_09
889,Цифровой маркетинг,ИБМ3,38.03.02_09
890,Кадровая логистика в системе предприятия,ИБМ3,38.03.02_09
891,Методы аналитики и прогнозирования,ИБМ3,38.03.02_09
892,Промышленный маркетинг,ИБМ3,38.03.02_09
893,Управление проектами,ИБМ3,38.03.02_09
894,Аналитика трудовых ресурсов,ИБМ3,38.03.02_09
895,Организация и управление цепями поставок,ИБМ3,38.03.02_09
896,Теория устойчивого развития,ИБМ3,38.03.02_09
897,Управление рисками в логистике,ИБМ3,38.03.02_09
898,Стратегическое управление человеческими ресурсами,ИБМ3,38.03.02_09
899,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,38.03.02_09
900,ДВ №2 (основная) : Корпоративная социальная ответственность организации,ИБМ3,38.03.02_09
901,ДВ №2: Организация инновационной деятельности в интегрированных промышленных структурах,ИБМ3,38.03.02_09
902,ДВ №3 (основная) : Переговоры и защита интересов,ИБМ3,38.03.02_09
903,ДВ №3: Стратегическое управление инновациями,ИБМ3,38.03.02_09
904,Ознакомительная практика,ИБМ3,38.03.02_09
905,Проектно-технологическая практика,ИБМ3,38.03.02_09
906,Учебно-технологический практикум,МТ13,38.03.02_09
907,Научно-исследовательская работа,ИБМ3,38.03.02_09
908,Преддипломная практика,ИБМ3,38.03.02_09
909,Подготовка и защита ВКР,ИБМ3,38.03.02_09
910,Иностранный язык,Л2,38.03.05_02
911,История России,СГН1,38.03.05_02
912,Линейная алгебра и аналитическая геометрия,ФН1,38.03.05_02
913,Математический анализ,ФН1,38.03.05_02
914,Теоретические основы информатики. Технологии обработки информации,ИУ5,38.03.05_02
915,Логика,СГН4,38.03.05_02
916,Программирование,ИУ5,38.03.05_02
917,Социология,СГН2,38.03.05_02
918,Физическая культура и спорт,ФВ,38.03.05_02
919,Экономическая теория,ИБМ3,38.03.05_02
920,Дифференциальные и разностные уравнения,ФН1,38.03.05_02
921,Теоретические основы информатики. Визуальное проектирование,ИУ5,38.03.05_02
922,Программирование на основе классов и шаблонов,ИУ5,38.03.05_02
923,Экономика предприятия,ИБМ2,38.03.05_02
924,Исследование операций,ФН1,38.03.05_02
925,"Вычислительные системы, сети, телекоммуникации",ИУ5,38.03.05_02
926,Дискретная математика,ФН1,38.03.05_02
927,Модели данных,ИУ5,38.03.05_02
928,Парадигмы и конструкции языков программирования,ИУ5,38.03.05_02
929,Теоретические основы информатики. Имитационное моделирование,ИУ5,38.03.05_02
930,Теория вероятностей и математическая статистика,ФН1,38.03.05_02
931,Базы данных,ИУ5,38.03.05_02
932,Прикладная статистика,ИБМ2,38.03.05_02
933,Распределенные системы,ИУ5,38.03.05_02
934,Безопасность жизнедеятельности,Э9,38.03.05_02
935,Философия,СГН4,38.03.05_02
936,Иностранный язык для профессиональных коммуникаций,Л2,38.03.05_02
937,Оперативный анализ данных,ИУ5,38.03.05_02
938,Организация и планирование производства,ИБМ2,38.03.05_02
939,Основы проектно-конструкторской деятельности,РК3,38.03.05_02
940,Разработка интернет-приложений,ИУ5,38.03.05_02
941,Экология,Э9,38.03.05_02
942,Правоведение,ЮР,38.03.05_02
943,Системы поддержки принятия решений,ИУ5,38.03.05_02
944,Технологии машинного обучения,ИУ5,38.03.05_02
945,Системы искусственного интеллекта,ИБМ6,38.03.05_02
946,Теория и практика аргументации,СГН4,38.03.05_02
947,Бизнес-планирование и прогнозирование,ИБМ3,38.03.05_02
948,Стратегический менеджмент,ИБМ3,38.03.05_02
949,Основы маркетинга,ИБМ3,38.03.05_02
950,Комплекс маркетинга,ИБМ3,38.03.05_02
951,Технологии управления продажами,ИБМ3,38.03.05_02
952,Маркетинговые коммуникации в офлайн и онлайн среде,ИБМ3,38.03.05_02
953,Моделирование бизнес-процессов,ИБМ3,38.03.05_02
954,Отраслевые особенности маркетинговой деятельности,ИБМ3,38.03.05_02
955,Приложение статистического анализа в маркетинге,ИБМ3,38.03.05_02
956,Управление командой,ИБМ3,38.03.05_02
957,Цифровой маркетинг,ИБМ3,38.03.05_02
958,Маркетинговые исследования,ИБМ3,38.03.05_02
959,Методы аналитики и прогнозирования,ИБМ3,38.03.05_02
960,Управление проектами,ИБМ3,38.03.05_02
961,Коммерциализация инновационных разработок и технологий,ИБМ3,38.03.05_02
962,Теория устойчивого развития,ИБМ3,38.03.05_02
963,Управление маркетинговой деятельностью,ИБМ3,38.03.05_02
964,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,38.03.05_02
965,ДВ №2 (основная) : Корпоративная социальная ответственность организации,ИБМ3,38.03.05_02
966,ДВ №2: Организация инновационной деятельности в интегрированных промышленных структурах,ИБМ3,38.03.05_02
967,ДВ №3 (основная) : Переговоры и защита интересов,ИБМ3,38.03.05_02
968,ДВ №3: Стратегическое управление инновациями,ИБМ3,38.03.05_02
969,Ознакомительная практика,ИБМ3,38.03.05_02
970,Научно-исследовательская работа,ИБМ3,38.03.05_02
971,Учебно-технологический практикум,МТ13,38.03.05_02
972,Проектно-технологическая практика,ИБМ3,38.03.05_02
973,Преддипломная практика,ИБМ3,38.03.05_02
974,Подготовка и защита ВКР,ИБМ3,38.03.05_02
975,Аналитическая геометрия,ФН1,27.03.05_53
976,Инженерная графика,РК1,27.03.05_53
977,Информатика,ИУ6,27.03.05_53
978,История России,СГН1,27.03.05_53
979,Математический анализ,ФН1,27.03.05_53
980,Физическая культура и спорт,ФВ,27.03.05_53
981,Начертательная геометрия,РК1,27.03.05_53
982,Основы программирования,ИУ6,27.03.05_53
983,Физика,ФН4,27.03.05_53
984,Иностранный язык,Л2,27.03.05_53
985,Экономическая теория,ИБМ1,27.03.05_53
986,Линейная алгебра,ФН1,27.03.05_53
987,Экономика предприятия,ИБМ2,27.03.05_53
988,Информационные технологии,ИБМ4,27.03.05_53
989,Материаловедение и химия,МТ8,27.03.05_53
990,"Метрология, стандартизация и сертификация",МТ4,27.03.05_53
991,Основы теории вероятностей и математической статистики,ФН1,27.03.05_53
992,Прикладная механика,ФН3,27.03.05_53
993,Теория инноваций,ИБМ6,27.03.05_53
994,Менеджмент,ИБМ4,27.03.05_53
995,Прикладная статистика,ИБМ2,27.03.05_53
996,Системный анализ и принятие решений,ФН1,27.03.05_53
997,Социология,СГН2,27.03.05_53
998,Технология конструкционных материалов,МТ13,27.03.05_53
999,Безопасность жизнедеятельности,Э9,27.03.05_53
1000,Естественно-научные методы решения инновационных задач,ФН4,27.03.05_53
1001,Иностранный язык для профессиональных коммуникаций,Л2,27.03.05_53
1002,Маркетинг инноваций,ИБМ3,27.03.05_53
1003,Организация и планирование производства,ИБМ2,27.03.05_53
1004,Основы проектно-конструкторской деятельности,РК3,27.03.05_53
1005,Управление качеством,ИБМ6,27.03.05_53
1006,Финансирование инновационной деятельности,ИБМ5,27.03.05_53
1007,Промышленные технологии и инновации,ИБМ4,27.03.05_53
1008,Теория и системы управления,ИБМ6,27.03.05_53
1009,Управление инновационными проектами,ИБМ2,27.03.05_53
1010,Управление человеческими ресурсами,ИБМ3,27.03.05_53
1011,Философия,СГН4,27.03.05_53
1012,Логистика наукоемкого производства,ИБМ3,27.03.05_53
1013,Правоведение,ЮР,27.03.05_53
1014,Управление инновационной деятельностью,ИБМ2,27.03.05_53
1015,Экология,Э9,27.03.05_53
1016,Основы логистической деятельности,ИБМ3,27.03.05_53
1017,Основы проектирования и программирования баз данных в логистике,ИБМ3,27.03.05_53
1018,Предпринимательский практикум - часть 1,ИБМ7,27.03.05_53
1019,Количественные и качественные методы в логистике,ИБМ3,27.03.05_53
1020,Организация и нормирование труда в наукоемких производствах,ИБМ3,27.03.05_53
1021,Экономический анализ наукоемкого производства,ИБМ3,27.03.05_53
1022,Предпринимательский практикум 2,ИБМ7,27.03.05_53
1023,Оптимизация логистических процессов,ИБМ3,27.03.05_53
1024,Организация логистического обеспечения наукоемкого производства,ИБМ3,27.03.05_53
1025,Бизнес-планирование наукоемкого производства,ИБМ3,27.03.05_53
1026,Интегрированная логистическая поддержка,ИБМ3,27.03.05_53
1027,Коммуникации в логистике,ИБМ3,27.03.05_53
1028,Логистика замкнутого цикла,ИБМ3,27.03.05_53
1029,Стратегическое управление инновациями,ИБМ3,27.03.05_53
1030,Управление жизненным циклом продукции,ИБМ3,27.03.05_53
1031,Логистика экспортно-импортных операций в наукоемком производстве,ИБМ3,27.03.05_53
1032,Управление рисками наукоемкого производства,ИБМ3,27.03.05_53
1033,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,27.03.05_53
1034,ДВ №2 (основная) : Интегрированные структуры наукоемкого производства,ИБМ3,27.03.05_53
1035,ДВ №2: Организация инновационной деятельности в интегрированных промышленных структурах,ИБМ3,27.03.05_53
1036,ДВ №3 (основная) : Технологические и производственные инновации,ИБМ3,27.03.05_53
1037,ДВ №3: Инновационное развитие территорий,ИБМ3,27.03.05_53
1038,Ознакомительная практика,ИБМ3,27.03.05_53
1039,Организационно-управленческая практика,ИБМ3,27.03.05_53
1040,Учебно-технологический практикум,РЛ6,27.03.05_53
1041,Учебно-технологический практикум,МТ13,27.03.05_53
1042,Научно-исследовательская работа,ИБМ3,27.03.05_53
1043,Преддипломная практика,ИБМ3,27.03.05_53
1044,Подготовка и защита ВКР,ИБМ3,27.03.05_53
1045,Аналитическая геометрия,ФН1,27.03.05_63
1046,Инженерная графика,РК1,27.03.05_63
1047,История России,СГН1,27.03.05_63
1048,Математический анализ,ФН1,27.03.05_63
1049,Начертательная геометрия,РК1,27.03.05_63
1050,Физическая культура и спорт,ФВ,27.03.05_63
1051,Информатика,ИУ7,27.03.05_63
1052,Линейная алгебра,ФН1,27.03.05_63
1053,Иностранный язык,Л2,27.03.05_63
1054,Информатика,ИУ7,27.03.05_63
1055,Физика,ФН4,27.03.05_63
1056,Экономическая теория,ИБМ1,27.03.05_63
1057,Экономика предприятия,ИБМ2,27.03.05_63
1058,Информационные технологии,ИБМ4,27.03.05_63
1059,Материаловедение и химия,МТ8,27.03.05_63
1060,"Метрология, стандартизация и сертификация",МТ4,27.03.05_63
1061,Основы теории вероятностей и математической статистики,ФН1,27.03.05_63
1062,Прикладная механика,ФН3,27.03.05_63
1063,Теория инноваций,ИБМ6,27.03.05_63
1064,Менеджмент,ИБМ4,27.03.05_63
1065,Прикладная статистика,ИБМ2,27.03.05_63
1066,Системный анализ и принятие решений,ФН1,27.03.05_63
1067,Социология,СГН2,27.03.05_63
1068,Технология конструкционных материалов,МТ13,27.03.05_63
1069,Безопасность жизнедеятельности,Э9,27.03.05_63
1070,Естественно-научные методы решения инновационных задач,ФН4,27.03.05_63
1071,Иностранный язык для профессиональных коммуникаций,Л2,27.03.05_63
1072,Маркетинг инноваций,ИБМ3,27.03.05_63
1073,Организация и планирование производства,ИБМ2,27.03.05_63
1074,Основы проектно-конструкторской деятельности,РК3,27.03.05_63
1075,Управление качеством,ИБМ6,27.03.05_63
1076,Финансирование инновационной деятельности,ИБМ5,27.03.05_63
1077,Промышленные технологии и инновации,ИБМ4,27.03.05_63
1078,Теория и системы управления,ИБМ6,27.03.05_63
1079,Управление инновационными проектами,ИБМ2,27.03.05_63
1080,Управление человеческими ресурсами,ИБМ3,27.03.05_63
1081,Философия,СГН4,27.03.05_63
1082,Логистика наукоемкого производства,ИБМ3,27.03.05_63
1083,Правоведение,ЮР,27.03.05_63
1084,Управление инновационной деятельностью,ИБМ2,27.03.05_63
1085,Экология,Э9,27.03.05_63
1086,Основы логистической деятельности,ИБМ3,27.03.05_63
1087,Основы проектирования и программирования баз данных в логистике,ИБМ3,27.03.05_63
1088,Предпринимательский практикум - часть 1,ИБМ7,27.03.05_63
1089,Количественные и качественные методы в логистике,ИБМ3,27.03.05_63
1090,Организация и нормирование труда в наукоемких производствах,ИБМ3,27.03.05_63
1091,Экономический анализ наукоемкого производства,ИБМ3,27.03.05_63
1092,Предпринимательский практикум 2,ИБМ7,27.03.05_63
1093,Оптимизация логистических процессов,ИБМ3,27.03.05_63
1094,Организация логистического обеспечения наукоемкого производства,ИБМ3,27.03.05_63
1095,Бизнес-планирование наукоемкого производства,ИБМ3,27.03.05_63
1096,Интегрированная логистическая поддержка,ИБМ3,27.03.05_63
1097,Коммуникации в логистике,ИБМ3,27.03.05_63
1098,Логистика замкнутого цикла,ИБМ3,27.03.05_63
1099,Стратегическое управление инновациями,ИБМ3,27.03.05_63
1100,Управление жизненным циклом продукции,ИБМ3,27.03.05_63
1101,Логистика экспортно-импортных операций в наукоемком производстве,ИБМ3,27.03.05_63
1102,Управление рисками наукоемкого производства,ИБМ3,27.03.05_63
1103,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,27.03.05_63
1104,ДВ №2 (основная) : Интегрированные структуры наукоемкого производства,ИБМ3,27.03.05_63
1105,ДВ №2: Организация инновационной деятельности в интегрированных промышленных структурах,ИБМ3,27.03.05_63
1106,ДВ №3 (основная) : Технологические и производственные инновации,ИБМ3,27.03.05_63
1107,ДВ №3: Инновационное развитие территорий,ИБМ3,27.03.05_63
1108,Ознакомительная практика,ИБМ3,27.03.05_63
1109,Организационно-управленческая практика,ИБМ3,27.03.05_63
1110,Учебно-технологический практикум,РЛ6,27.03.05_63
1111,Учебно-технологический практикум,МТ13,27.03.05_63
1112,Научно-исследовательская работа,ИБМ3,27.03.05_63
1113,Преддипломная практика,ИБМ3,27.03.05_63
1114,Подготовка и защита ВКР,ИБМ3,27.03.05_63
1115,Инженерная графика,РК1,27.03.05_04
1116,Иностранный язык,Л2,27.03.05_04
1117,Информатика,ИУ7,27.03.05_04
1118,История России,СГН1,27.03.05_04
1119,Линейная алгебра и аналитическая геометрия,ФН1,27.03.05_04
1120,Математический анализ,ФН1,27.03.05_04
1121,Начертательная геометрия,РК1,27.03.05_04
1122,Экономическая теория,ИБМ1,27.03.05_04
1123,Физическая культура и спорт,ФВ,27.03.05_04
1124,Физика и естествознание,ФН4,27.03.05_04
1125,Экономика предприятия,ИБМ2,27.03.05_04
1126,Информационные технологии,ИБМ4,27.03.05_04
1127,Материаловедение и химия,МТ8,27.03.05_04
1128,"Метрология, стандартизация и сертификация",МТ4,27.03.05_04
1129,Основы теории вероятностей и математической статистики,ФН1,27.03.05_04
1130,Прикладная механика,ФН3,27.03.05_04
1131,Теория инноваций,ИБМ6,27.03.05_04
1132,Менеджмент,ИБМ4,27.03.05_04
1133,Прикладная статистика,ИБМ2,27.03.05_04
1134,Системный анализ и принятие решений,ФН1,27.03.05_04
1135,Технология конструкционных материалов,МТ13,27.03.05_04
1136,Социология,СГН2,27.03.05_04
1137,Безопасность жизнедеятельности,Э9,27.03.05_04
1138,Естественно-научные методы решения инновационных задач,ФН4,27.03.05_04
1139,Организация производства,ИБМ2,27.03.05_04
1140,Управление качеством,ИБМ6,27.03.05_04
1141,Финансирование инновационной деятельности,ИБМ5,27.03.05_04
1142,Иностранный язык для профессиональных коммуникаций,Л2,27.03.05_04
1143,Маркетинг инноваций,ИБМ3,27.03.05_04
1144,Основы проектно-конструкторской деятельности,РК3,27.03.05_04
1145,Промышленные технологии и инновации,ИБМ4,27.03.05_04
1146,Теория и системы управления,ИБМ6,27.03.05_04
1147,Управление инновационными проектами,ИБМ2,27.03.05_04
1148,Управление человеческими ресурсами,ИБМ3,27.03.05_04
1149,Философия,СГН4,27.03.05_04
1150,Учет и анализ хоздеятельности предприятия,ИБМ2,27.03.05_04
1151,Экология,Э9,27.03.05_04
1152,Логистика наукоемкого производства,ИБМ3,27.03.05_04
1153,Правоведение,ЮР,27.03.05_04
1154,Управление инновационной деятельностью,ИБМ2,27.03.05_04
1155,Бизнес-планирование инновационных проектов,ИБМ3,27.03.05_04
1156,Введение в профессию,ИБМ4,27.03.05_04
1157,Предпринимательский практикум - часть 1,ИБМ7,27.03.05_04
1158,Предпринимательский практикум часть 2,ИБМ4,27.03.05_04
1159,Большие данные,ИУ10,27.03.05_04
1160,PR и рекламный менеджмент,ИБМ4,27.03.05_04
1161,Компьютерные бизнес-технологии,ИБМ4,27.03.05_04
1162,Основы теории организации и организационное проектирование,ИБМ4,27.03.05_04
1163,Корпоративная социальная ответственность и устойчивое развитие,ИБМ4,27.03.05_04
1164,Бизнес-архитектура,ИБМ4,27.03.05_04
1165,Информационный менеджмент,ИБМ4,27.03.05_04
1166,Менеджмент информационной безопасности,ИУ10,27.03.05_04
1167,Правовые основы обеспечения безопасности информации,ИУ10,27.03.05_04
1168,Управление развитием организации,ИБМ4,27.03.05_04
1169,Управленческие финансы,ИБМ4,27.03.05_04
1170,Основы контроллинга,ИБМ2,27.03.05_04
1171,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,27.03.05_04
1172,ДВ №2 (основная) : Управленческое консультирование,ИБМ4,27.03.05_04
